client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,benchmark_source_segment,benchmark_median_pct,benchmark_p25_pct,benchmark_p75_pct,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:00140000010eX5fAAE,Great River Energy,SALESCLOUD_ACCOUNT_ID:00140000010eX5fAAE,Great River Energy,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0011W00001zD4kAQAS,"Equinox Holdings, Inc.",SALESCLOUD_ACCOUNT_ID:0011W00001zD4kAQAS,"Equinox Holdings, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,6092,4548.0,4509.0,2,0,1,1,0,0.0003,0.0004,0.0004,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,947.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001bRNviAAG,"KeHE Distributors, LLC",SALESCLOUD_ACCOUNT_ID:0014000001bRNviAAG,"KeHE Distributors, LLC",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001mjE4UAAU,"Carrix, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001mjE4UAAU,"Carrix, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001faMVSAA2,Merz Pharmaceuticals LLC,SALESCLOUD_ACCOUNT_ID:0014000001faMVSAA2,Merz Pharmaceuticals LLC,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000000wEfYxAAK,Visa U.S.A. Inc.,SALESCLOUD_ACCOUNT_ID:0014000000wEfYxAAK,Visa U.S.A. Inc.,True,True,False,False,WITHOUT_CLAIMS,NAV_PLUS_CEMO,WITHOUT_CLAIMS__NAV_PLUS_CEMO,35664,31037.0,31340.0,72,6,34,49,0,0.002,0.0023,0.0023,0.0,0.0,0.0,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,8129.0,0.2619
SALESCLOUD_ACCOUNT_ID:0014000000wDkwnAAC,Stanford University,SALESCLOUD_ACCOUNT_ID:0014000000wDkwnAAC,Stanford University,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,44774,41134.0,39772.0,9169,1011,5948,6477,9066,0.2048,0.2229,0.2305,0.2025,0.2204,0.2279,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,9066.0,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000wCl1UAAS,UBS,SALESCLOUD_ACCOUNT_ID:0014000000wCl1UAAS,UBS,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,53223,48518.0,47277.0,6031,426,2947,4054,5973,0.1133,0.1243,0.1276,0.1122,0.1231,0.1263,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,5973.0,0.1231
SALESCLOUD_ACCOUNT_ID:0015d00004CiYOoAAN,Nimble Health,SALESCLOUD_ACCOUNT_ID:0015d00004CiYOoAAN,Nimble Health,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,88000.0,88000.0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,18330.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001gltgQAAQ,"Liberty Healthcare Management, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001gltgQAAQ,"Liberty Healthcare Management, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,13414,12701.0,12833.0,1,0,1,0,0,0.0001,0.0001,0.0001,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.0
SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,366241,323998.0,309724.0,74493,13483,61912,32011,72999,0.2034,0.2299,0.2405,0.1993,0.2253,0.2357,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,72999.0,0.2253
SALESCLOUD_ACCOUNT_ID:0014000001Z27z4AAB,California Institute of Technology,SALESCLOUD_ACCOUNT_ID:0014000001Z27z4AAB,California Institute of Technology,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,6074,5291.0,5230.0,2,0,1,1,0,0.0003,0.0004,0.0004,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1102.0,0.2083
SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,66689,0.0,0.0,19,3,17,6,18,0.0003,,,0.0003,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,18.0,
SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,14874,13104.0,12876.0,3820,173,3019,1737,3803,0.2568,0.2915,0.2967,0.2557,0.2902,0.2954,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,3803.0,0.2902
SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,3967,3374.0,3423.0,895,45,528,581,883,0.2256,0.2653,0.2615,0.2226,0.2617,0.258,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,883.0,0.2617
SALESCLOUD_ACCOUNT_ID:0014000001kNlIKAA0,Andersen Corporation,SALESCLOUD_ACCOUNT_ID:0014000001kNlIKAA0,Andersen Corporation,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,23516,20709.0,20762.0,10,1,7,5,0,0.0004,0.0005,0.0005,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,4314.0,0.2083
SALESCLOUD_ACCOUNT_ID:0011W00001u5xqnQAA,One Digital (Employer),SALESCLOUD_ACCOUNT_ID:0011W00001u5xqnQAA,One Digital (Employer),True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001YDvNzAAL,Barr Engineering,SALESCLOUD_ACCOUNT_ID:0014000001YDvNzAAL,Barr Engineering,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,2956,2801.0,2862.0,4,1,4,1,0,0.0014,0.0014,0.0014,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,583.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001W1ECVAA3,"Hologic, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001W1ECVAA3,"Hologic, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,10006,8456.0,8350.0,17,0,12,6,0,0.0017,0.002,0.002,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1761.0,0.2083
