client_account_id,client_account_name,is_cemo_base,cemo_base_segment,client_workstream,is_claims_present,n_outreach_members,n_addressable_paid,n_addressable_recommended,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,pct_outreach_on_distinct_ever,pct_outreach_on_avg_monthly_br,pct_outreach_on_eop_dec,pct_addressable_paid_on_distinct_ever,pct_addressable_paid_on_avg_monthly_br,pct_addressable_paid_on_eop_dec,pct_addressable_recommended_on_distinct_ever,pct_addressable_recommended_on_avg_monthly_br,pct_addressable_recommended_on_eop_dec,book_benchmark_pct_portfolio,book_benchmark_pct_median_client
SALESCLOUD_ACCOUNT_ID:00140000013l5aYAAQ,"Activision Blizzard, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,6,0,,12211,10812.0,10686.0,0.0005,0.0006,0.0006,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001eBYsQAAW,Alcon,True,CEMO_BASE,WITHOUT_CLAIMS,False,9,0,,24673,22422.0,22182.0,0.0004,0.0004,0.0004,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vp8NeAAI,Amazon.com,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlIKAA0,Andersen Corporation,True,CEMO_BASE,WITHOUT_CLAIMS,False,10,0,,23516,20709.0,20762.0,0.0004,0.0005,0.0005,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001SxHLpAAN,ArcBest Corporation,True,CEMO_BASE,WITHOUT_CLAIMS,False,333,0,,10463,9154.0,8571.0,0.0318,0.0364,0.0389,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001xxIn3QAE,"Ball Metalpack, LLC",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlRAAA0,Barnes Group Inc.,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001YDvNzAAL,Barr Engineering,True,CEMO_BASE,WITHOUT_CLAIMS,False,4,0,,2956,2801.0,2862.0,0.0014,0.0014,0.0014,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001go0zUAAQ,Board of County Commissioners of Larimer County,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001Z27z4AAB,California Institute of Technology,True,CEMO_BASE,WITHOUT_CLAIMS,False,2,0,,6074,5291.0,5230.0,0.0003,0.0004,0.0004,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
