client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,book_benchmark_pct_portfolio,book_benchmark_pct_median_client,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,366241,323998.0,309724.0,74493,13483,61912,32011,72998,0.2034,0.2299,0.2405,0.1993,0.2253,0.2357,0.20448621785288032,0.2204,72998.0,0.2253
SALESCLOUD_ACCOUNT_ID:0011W000023xT6xQAE,Alera Group,SALESCLOUD_ACCOUNT_ID:0011W000023xT6xQAE,Alera Group,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,7359,6474.0,6410.0,593,36,392,282,570,0.0806,0.0916,0.0925,0.0775,0.088,0.0889,0.20448621785288032,0.2204,570.0,0.088
SALESCLOUD_ACCOUNT_ID:0011W00002QSEqxQAH,Anoka County,SALESCLOUD_ACCOUNT_ID:0011W00002QSEqxQAH,Anoka County,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,5787,5477.0,5238.0,1761,55,1318,1006,1731,0.3043,0.3215,0.3362,0.2991,0.316,0.3305,0.20448621785288032,0.2204,1731.0,0.316
SALESCLOUD_ACCOUNT_ID:0015d00003QbHhCAAV,Avergent,SALESCLOUD_ACCOUNT_ID:0015d00003QbHhCAAV,Avergent,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,23726,20034.0,17765.0,73,2,45,36,69,0.0031,0.0036,0.0041,0.0029,0.0034,0.0039,0.20448621785288032,0.2204,69.0,0.0034
SALESCLOUD_ACCOUNT_ID:0014000001a9dipAAA,Ball Corporation,SALESCLOUD_ACCOUNT_ID:0014000001a9dipAAA,Ball Corporation,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,9832,8645.0,8417.0,1725,91,1484,523,1690,0.1754,0.1995,0.2049,0.1719,0.1955,0.2008,0.20448621785288032,0.2204,1690.0,0.1955
SALESCLOUD_ACCOUNT_ID:0011W00001uNgBfQAK,BioMarin Pharmaceutical,SALESCLOUD_ACCOUNT_ID:0011W00001uNgBfQAK,BioMarin Pharmaceutical,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,3770,3344.0,3415.0,602,15,507,238,598,0.1597,0.18,0.1763,0.1586,0.1788,0.1751,0.20448621785288032,0.2204,598.0,0.1788
SALESCLOUD_ACCOUNT_ID:0014000001a7XcZAAU,Brown Brothers Harriman & Co.,SALESCLOUD_ACCOUNT_ID:0014000001a7XcZAAU,Brown Brothers Harriman & Co.,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,6081,5557.0,5475.0,1296,37,1075,482,1286,0.2131,0.2332,0.2367,0.2115,0.2314,0.2349,0.20448621785288032,0.2204,1286.0,0.2314
SALESCLOUD_ACCOUNT_ID:0014000000y4QK1AAM,Charter Communications,SALESCLOUD_ACCOUNT_ID:0014000000y4QK1AAM,Charter Communications,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,201042,168886.0,162300.0,54844,10365,43654,25079,54270,0.2728,0.3247,0.3379,0.2699,0.3213,0.3344,0.20448621785288032,0.2204,54270.0,0.3213
SALESCLOUD_ACCOUNT_ID:0015d00004KtnueAAB,Cohesity,SALESCLOUD_ACCOUNT_ID:0015d00004KtnueAAB,Cohesity,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,8385,6903.0,7788.0,1451,175,1188,549,1438,0.173,0.2102,0.1863,0.1715,0.2083,0.1846,0.20448621785288032,0.2204,1438.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001WZiflAAD,Colgate-Palmolive Company,SALESCLOUD_ACCOUNT_ID:0014000001WZiflAAD,Colgate-Palmolive Company,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,17155,15565.0,15322.0,4970,744,3738,2785,4941,0.2897,0.3193,0.3244,0.288,0.3174,0.3225,0.20448621785288032,0.2204,4941.0,0.3174
