client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,benchmark_source_segment,benchmark_median_pct,benchmark_p25_pct,benchmark_p75_pct,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:0011W000023xT6xQAE,Alera Group,SALESCLOUD_ACCOUNT_ID:0011W000023xT6xQAE,Alera Group,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,7359,6474.0,6410.0,593,36,392,282,570,0.0806,0.0916,0.0925,0.0775,0.088,0.0889,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,570.0,0.088
SALESCLOUD_ACCOUNT_ID:0011W00002QSEqxQAH,Anoka County,SALESCLOUD_ACCOUNT_ID:0011W00002QSEqxQAH,Anoka County,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,5787,5477.0,5238.0,1761,55,1318,1006,1731,0.3043,0.3215,0.3362,0.2991,0.316,0.3305,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1731.0,0.316
SALESCLOUD_ACCOUNT_ID:0015d00003QbHhCAAV,Avergent,SALESCLOUD_ACCOUNT_ID:0015d00003QbHhCAAV,Avergent,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,23726,20034.0,17765.0,73,2,45,36,69,0.0031,0.0036,0.0041,0.0029,0.0034,0.0039,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,69.0,0.0034
SALESCLOUD_ACCOUNT_ID:0014000001a9dipAAA,Ball Corporation,SALESCLOUD_ACCOUNT_ID:0014000001a9dipAAA,Ball Corporation,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,9832,8645.0,8417.0,1725,91,1484,523,1690,0.1754,0.1995,0.2049,0.1719,0.1955,0.2008,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1690.0,0.1955
SALESCLOUD_ACCOUNT_ID:0011W00001uNgBfQAK,BioMarin Pharmaceutical,SALESCLOUD_ACCOUNT_ID:0011W00001uNgBfQAK,BioMarin Pharmaceutical,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,3770,3344.0,3415.0,602,15,507,238,598,0.1597,0.18,0.1763,0.1586,0.1788,0.1751,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,598.0,0.1788
SALESCLOUD_ACCOUNT_ID:0014000001a7XcZAAU,Brown Brothers Harriman & Co.,SALESCLOUD_ACCOUNT_ID:0014000001a7XcZAAU,Brown Brothers Harriman & Co.,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,6081,5557.0,5475.0,1296,37,1075,482,1286,0.2131,0.2332,0.2367,0.2115,0.2314,0.2349,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1286.0,0.2314
SALESCLOUD_ACCOUNT_ID:0014000000y4QK1AAM,Charter Communications,SALESCLOUD_ACCOUNT_ID:0014000000y4QK1AAM,Charter Communications,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,201042,168886.0,162300.0,54844,10365,43654,25079,54270,0.2728,0.3247,0.3379,0.2699,0.3213,0.3344,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,54270.0,0.3213
SALESCLOUD_ACCOUNT_ID:0015d00004KtnueAAB,Cohesity,SALESCLOUD_ACCOUNT_ID:0015d00004KtnueAAB,Cohesity,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,8385,6903.0,7788.0,1451,175,1188,549,1438,0.173,0.2102,0.1863,0.1715,0.2083,0.1846,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,1438.0,0.2083
SALESCLOUD_ACCOUNT_ID:0014000001WZiflAAD,Colgate-Palmolive Company,SALESCLOUD_ACCOUNT_ID:0014000001WZiflAAD,Colgate-Palmolive Company,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,17155,15565.0,15322.0,4970,744,3738,2785,4941,0.2897,0.3193,0.3244,0.288,0.3174,0.3225,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,4941.0,0.3174
SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,66689,0.0,0.0,19,3,17,6,18,0.0003,,,0.0003,,,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,18.0,
SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,13414,12701.0,12833.0,1,0,1,0,0,0.0001,0.0001,0.0001,0.0,0.0,0.0,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,0.0,0.0
SALESCLOUD_ACCOUNT_ID:0014000001lYW6bAAG,HealthTrust NH,SALESCLOUD_ACCOUNT_ID:0014000001lYW6bAAG,HealthTrust NH,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,50526,44319.0,42901.0,6226,29,6209,32,6226,0.1232,0.1405,0.1451,0.1232,0.1405,0.1451,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,6226.0,0.1405
SALESCLOUD_ACCOUNT_ID:0011W00002TPtr7QAD,IMEG Consulting Corp,SALESCLOUD_ACCOUNT_ID:0011W00002TPtr7QAD,IMEG Consulting Corp,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,4625,3953.0,4015.0,914,20,805,268,907,0.1976,0.2312,0.2276,0.1961,0.2294,0.2259,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,907.0,0.2294
SALESCLOUD_ACCOUNT_ID:00140000013pZGcAAM,Lennox,SALESCLOUD_ACCOUNT_ID:00140000013pZGcAAM,Lennox,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,13714,11432.0,10950.0,3108,192,2917,585,3056,0.2266,0.2719,0.2838,0.2228,0.2673,0.2791,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,3056.0,0.2673
SALESCLOUD_ACCOUNT_ID:0014000000wCknzAAC,Liberty Mutual,SALESCLOUD_ACCOUNT_ID:0014000000wCknzAAC,Liberty Mutual,True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,88455,80343.0,79440.0,13564,492,11345,4595,13312,0.1533,0.1688,0.1707,0.1505,0.1657,0.1676,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,13312.0,0.1657
SALESCLOUD_ACCOUNT_ID:0014000001ZnBemAAF,Lockton (Employer),SALESCLOUD_ACCOUNT_ID:0014000001ZnBemAAF,Lockton (Employer),True,False,True,True,WITH_CLAIMS,CEMO_BASE,WITH_CLAIMS__CEMO_BASE,15208,13218.0,13395.0,3023,59,2647,828,2957,0.1988,0.2287,0.2257,0.1944,0.2237,0.2208,WITH_CLAIMS__CEMO_BASE,0.2083,0.13895000000000002,0.2379,2957.0,0.2237
