client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,benchmark_source_segment,benchmark_median_pct,benchmark_p25_pct,benchmark_p75_pct,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,366241,323998.0,309724.0,74493,13483,61912,32011,72999,0.2034,0.2299,0.2405,0.1993,0.2253,0.2357,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,72999.0,0.2253
SALESCLOUD_ACCOUNT_ID:0014000001kNlBmAAK,Crown Castle,SALESCLOUD_ACCOUNT_ID:0014000001kNlBmAAK,Crown Castle,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,10640,9807.0,9693.0,2985,474,2245,1504,2939,0.2805,0.3044,0.308,0.2762,0.2997,0.3032,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,2939.0,0.2997
SALESCLOUD_ACCOUNT_ID:0014000000vp8MlAAI,Google,SALESCLOUD_ACCOUNT_ID:0014000000vp8MlAAI,Google,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,268694,242828.0,242882.0,76500,5919,55482,41241,76014,0.2847,0.315,0.315,0.2829,0.313,0.313,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,76014.0,0.313
SALESCLOUD_ACCOUNT_ID:00140000012hRLJAA2,JP Morgan Chase,SALESCLOUD_ACCOUNT_ID:00140000012hRLJAA2,JP Morgan Chase,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,365684,329205.0,325805.0,11682,1828,9373,5346,11579,0.0319,0.0355,0.0359,0.0317,0.0352,0.0355,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,11579.0,0.0352
SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,3967,3374.0,3423.0,895,45,528,581,883,0.2256,0.2653,0.2615,0.2226,0.2617,0.258,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,883.0,0.2617
SALESCLOUD_ACCOUNT_ID:0014000000vp8OIAAY,McDonald's Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OIAAY,McDonald's Corporation,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,91279,60609.0,58514.0,4427,444,3655,1767,4321,0.0485,0.073,0.0757,0.0473,0.0713,0.0738,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,4321.0,0.0713
SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,14874,13104.0,12876.0,3820,173,3019,1737,3803,0.2568,0.2915,0.2967,0.2557,0.2902,0.2954,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,3803.0,0.2902
SALESCLOUD_ACCOUNT_ID:0014000001ZQzCvAAL,Phillips 66,SALESCLOUD_ACCOUNT_ID:0014000001ZQzCvAAL,Phillips 66,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,39999,36622.0,36276.0,9477,901,7868,3821,9333,0.2369,0.2588,0.2612,0.2333,0.2548,0.2573,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,9333.0,0.2548
SALESCLOUD_ACCOUNT_ID:001400000129ABiAAM,Wells Fargo,SALESCLOUD_ACCOUNT_ID:001400000129ABiAAM,Wells Fargo,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,391338,344619.0,332926.0,93954,16398,70386,47286,92810,0.2401,0.2726,0.2822,0.2372,0.2693,0.2788,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,92810.0,0.2693
SALESCLOUD_ACCOUNT_ID:0015d00003Qa2RLAAZ,Zendesk,SALESCLOUD_ACCOUNT_ID:0015d00003Qa2RLAAZ,Zendesk,True,True,False,True,WITH_CLAIMS,NAV_PLUS_CEMO,WITH_CLAIMS__NAV_PLUS_CEMO,5468,4334.0,4216.0,1165,130,831,580,1136,0.2131,0.2688,0.2763,0.2078,0.2621,0.2694,WITH_CLAIMS__NAV_PLUS_CEMO,0.2619,0.23267500000000002,0.284975,1136.0,0.2621
