client_account_id,client_account_name,aggregation_id,aggregation_name,has_cemo,has_nav,is_cemo_base,is_claims_present,client_workstream,cemo_base_segment,client_benchmark_segment,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,n_outreach_members,n_complex_patients,n_msk_neuro,n_high_cost,n_addressable_risk_and_claims_history,pct_eligible_on_outreach_list,pct_outreach_on_avg_eligible,pct_outreach_on_eop_eligible,pct_addressable_risk_and_claims,pct_addressable_on_avg_eligible,pct_addressable_on_eop_eligible,book_benchmark_pct_portfolio,book_benchmark_pct_median_client,n_addressable_recommended,pct_addressable_recommended
SALESCLOUD_ACCOUNT_ID:00140000013l5aYAAQ,"Activision Blizzard, Inc.",SALESCLOUD_ACCOUNT_ID:00140000013l5aYAAQ,"Activision Blizzard, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,12211,10812.0,10686.0,6,0,5,3,0,0.0005,0.0006,0.0006,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001eBYsQAAW,Alcon,SALESCLOUD_ACCOUNT_ID:0014000001eBYsQAAW,Alcon,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,24673,22422.0,22182.0,9,1,7,2,0,0.0004,0.0004,0.0004,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000000vp8NeAAI,Amazon.com,SALESCLOUD_ACCOUNT_ID:0014000000vp8NeAAI,Amazon.com,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001kNlIKAA0,Andersen Corporation,SALESCLOUD_ACCOUNT_ID:0014000001kNlIKAA0,Andersen Corporation,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,23516,20709.0,20762.0,10,1,7,5,0,0.0004,0.0005,0.0005,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001SxHLpAAN,ArcBest Corporation,SALESCLOUD_ACCOUNT_ID:0014000001SxHLpAAN,ArcBest Corporation,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,10463,9154.0,8571.0,333,3,331,4,0,0.0318,0.0364,0.0389,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0011W00001xxIn3QAE,"Ball Metalpack, LLC",SALESCLOUD_ACCOUNT_ID:0011W00001xxIn3QAE,"Ball Metalpack, LLC",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001kNlRAAA0,Barnes Group Inc.,SALESCLOUD_ACCOUNT_ID:0014000001kNlRAAA0,Barnes Group Inc.,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001YDvNzAAL,Barr Engineering,SALESCLOUD_ACCOUNT_ID:0014000001YDvNzAAL,Barr Engineering,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,2956,2801.0,2862.0,4,1,4,1,0,0.0014,0.0014,0.0014,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001go0zUAAQ,Board of County Commissioners of Larimer County,SALESCLOUD_ACCOUNT_ID:0014000001go0zUAAQ,Board of County Commissioners of Larimer County,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001Z27z4AAB,California Institute of Technology,SALESCLOUD_ACCOUNT_ID:0014000001Z27z4AAB,California Institute of Technology,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,6074,5291.0,5230.0,2,0,1,1,0,0.0003,0.0004,0.0004,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0011W00001s0SLFQA2,California Life Sciences Association,SALESCLOUD_ACCOUNT_ID:0011W00001s0SLFQA2,California Life Sciences Association,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001dMeskAAC,"Cardiovascular Systems, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001dMeskAAC,"Cardiovascular Systems, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001mjE4UAAU,"Carrix, Inc.",SALESCLOUD_ACCOUNT_ID:0014000001mjE4UAAU,"Carrix, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001fY1haAAC,Celgene Corporation,SALESCLOUD_ACCOUNT_ID:0014000001fY1haAAC,Celgene Corporation,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0015d00003JsaEEAAZ,Compass Rose,SALESCLOUD_ACCOUNT_ID:0015d00003JsaEEAAZ,Compass Rose,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,31279,28655.0,28222.0,5,0,5,2,0,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001exwBaAAI,Cross Company,SALESCLOUD_ACCOUNT_ID:0014000001exwBaAAI,Cross Company,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001crfbZAAQ,DPR Construction,SALESCLOUD_ACCOUNT_ID:0014000001crfbZAAQ,DPR Construction,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0011W00001uNggYQAS,"DynCorp International, LLC",SALESCLOUD_ACCOUNT_ID:0011W00001uNggYQAS,"DynCorp International, LLC",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0011W00001zD4kAQAS,"Equinox Holdings, Inc.",SALESCLOUD_ACCOUNT_ID:0011W00001zD4kAQAS,"Equinox Holdings, Inc.",True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,6092,4548.0,4509.0,2,0,1,1,0,0.0003,0.0004,0.0004,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000000vp8OCAAY,Fair Isaac Corporation,SALESCLOUD_ACCOUNT_ID:0014000000vp8OCAAY,Fair Isaac Corporation,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,3472,3241.0,3369.0,8,1,3,6,0,0.0023,0.0025,0.0024,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001kNlLOAA0,First Republic Bank,SALESCLOUD_ACCOUNT_ID:0014000001kNlLOAA0,First Republic Bank,True,True,False,False,WITHOUT_CLAIMS,NAV_PLUS_CEMO,WITHOUT_CLAIMS__NAV_PLUS_CEMO,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001gBP7eAAG,Franklin Electric Co Inc.,SALESCLOUD_ACCOUNT_ID:0014000001gBP7eAAG,Franklin Electric Co Inc.,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000000vp8SzAAI,Genentech,SALESCLOUD_ACCOUNT_ID:0014000000vp8SzAAI,Genentech,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,62776,61218.0,61558.0,194,8,138,109,0,0.0031,0.0032,0.0032,0.0,0.0,0.0,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:0014000001HmrA4AAJ,Graham Holdings,SALESCLOUD_ACCOUNT_ID:0014000001HmrA4AAJ,Graham Holdings,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
SALESCLOUD_ACCOUNT_ID:00140000010eX5fAAE,Great River Energy,SALESCLOUD_ACCOUNT_ID:00140000010eX5fAAE,Great River Energy,True,False,True,False,WITHOUT_CLAIMS,CEMO_BASE,WITHOUT_CLAIMS__CEMO_BASE,0,0.0,0.0,0,0,0,0,0,,,,,,,0.20448621785288032,0.2204,,
